id|question1|question2|answer
0|DEFINE THE TERM 'STRUCTURE'. ALSO DISCUSS THE STRUCTURAL ELEMENTS.||A. STRUCTURE : 1. A STRUCTURE IS A SYSTEM OF CONNECTED PARTS USED TO SUPPORT A LOAD. EXAMPLES OF STRUCTURES IN CIVIL ENGINEERING ARE BUILDINGS, BRIDGES AND TOWERS. 2. WHILE DESIGNING A STRUCTURE THE ENGINEER MUST ACCOUNT FOR ITS SAFETY, AESTHETIC AND SERVICEABILITY ALSO TAKING INTO CONSIDERATION ECONOMIC AND ENVIRONMENTAL CONSTRAINTS. B. STRUCTURAL ELEMENTS : THE COMMON STRUCTURAL ELEMENTS ARE AS FOLLOWS : 1. TIE RODS 2. BEAMS 3. COLUMNS 1. TIE RODS (OR BRACING STRUTS) : TIE RODS OR BRACING STRUTS ARE THE STRUCTURAL MEMBERS SUBJECTED TO TENSILE FORCE. TIE RODS ARE SLENDER AND ARE OFTEN CHOSEN FROM RODS, BARS, ANGLES OR CHANNELS. - ROD BAR ANGLE CHANNEL TYPICAL CROSS-SECTIONS TIE ROD FIGURE. 1.1.1. TIE RODS. 2 BEAMS : I. BEAMS ARE USUALLY STRAIGHT HORIZONTAL MEMBERS USED PRIMARILY TO CARRY VERTICAL LOADS. II. WHEN THE CROSS-SECTION VARIES, THE BEAM IS REFERRED TO AS TAPERED OR HUNCHED. BEAMS ARE PRIMARILY DESIGNED TO RESIST BENDING MOMENT.  1-4 C () CLASSIFICATION OF STRUCTURES SIMPLY SUPPORTED BEAM CANTILEVERED BEAM FIXED-SUPPORTED BEAM AND CONTINUOUS BEAM FIGURE. 1.1.2. BEAMS. 3. COLUMNS : COLUMNS ARE USUALLY VERTICAL AND RESIST AXIAL COMPRESSIVE LOADS. SOMETIMES COLUMNS ARE SUBJECTED TO BOTH AN AXIAL LOAD AND A BENDING MOMENT, THEN THESE COLUMNS ARE KNOWN AS BEAM COLUMNS.
1|EXPLAIN THE CLASSIFICATION OF STRUCTURES IN DETAIL. 05||CLASSIFICATION OF STRUCTURES : THESE CAN BE CLASSIFIED AS FOLLOWS : 1. ON THE BASIS OF STRUCTURAL FORMS AND SHAPES : I. LINEAR FORMS (SKELETAL STRUCTURES). II. CURVILINEAR FORMS (SURFACE STRUCTURES). I. LINEAR FORMS : A. THEY ARE ARTICULATED STRUCTURES ASSEMBLED WITH PARTS CONSISTING OF LINEAR ELEMENTS, SUCH AS BARS AND BEAMS, THE CONNECTION BETWEEN THEM BEING BOLTED OR RIVETED OR WELDED. B. LINEAR FORMS ARE PREFERRED FOR RESIDENTIAL, OFFICIAL, AND EDUCATIONAL PURPOSES. THE LINEAR FORM IS CALLED SKELETAL STRUCTURES. BEAM COLUMN (A) FRAME (B) INDUSTRIAL SHED (C) PLATE FIGURE. 1.2.1. EXAMPLES : FRAME, HIGH RISE STRUCTURE, TRUSS, INDUSTRIAL SHED, BRIDGE DECK, PLATE, ETC. II. CURVILINEAR FORMS : A. CURVILINEAR FORMS AS SINGLE ENTITIES MOSTLY OCCUPY A SPACE.   1-5 () B. THESE STRUCTURES ARE IDEALIZED AS CONTINUOUS SYSTEM FOR STRUCTURAL ANALYSIS PURPOSE. C. THEY ARE 3-D STRUCTURES AND THEY ARE ALSO TERMED AS SURFACE STRUCTURES. EXAMPLES : DOME, SHELLS, ARCHES, CABLES, CYLINDRICAL MEMBERS, ETC. W KN/M A (A) DOME (B) ARCH (C) CYLINDRICAL MEMBER FIGURE. 1.2.2. 2 ON THE BASIS OF DOMINANT STRESS CONDITIONS : I UNIFORM STRESS FORMS. II. VARYING STRESS FORMS. I. UNIFORM STRESS FORMS : WHEN THE STRESS ACROSS A SECTION IS UNIFORM OVER THE DEPTH OF A MEMBER OR OVER THE THICKNESS OF A PANEL, SUCH A FORM IS CALLED UNIFORM STRESS FORM. EXAMPLE : CABLES, ARCHES, TRUSS MEMBER, SHELLS ETC. II. VARYING STRESS FORMS : WHEN THE STRESS VARIES OVER THE DEPTH OR THICKNESS, FROM A MAXIMUM COMPRESSIVE STRESS ON ONE SURFACE TO A MAXIMUM TENSILE STRESS ON THE OTHER, SUCH A FORM IS CALLED VARYING STRESS FORM. EXAMPLE : BEAMS, RIGID FRAMES, SLABS, PLATES ETC. 3. ON THE BASIS OF THE COMPLEXITY OF THEIR FORCE ANALYSIS : I. BEAMS AND TRUSSES. II. CABLES AND ARCHES. III. FRAMES. IV. SURFACE STRUCTURES. I. BEAMS AND TRUSSES : A. BEAMS AND TRUSSES ARE A FORM OF STRUCTURES. B. A SIMPLY SUPPORTED BEAM, SUPPORTED ON A PIN AT ONE END AND A ROLLER AT THE OTHER END IS QUITE STABLE AND STATICALLY DETERMINATE, AND TRANSMITS THE EXTERNAL LOADS TO THE SUPPORTS MAINLY THROUGH SHEAR AND MOMENT. C. SOME TYPICALLY COMPLEX TYPES OF BEAMS ARE FIXED END BEAMS AND CONTINUOUS BEAMS. THESE BEAMS ARE STATICALLY INDETERMINATE AND CANNOT BE SOLVED USING EQUATIONS OF STATIC EQUILIBRIUM ALONE. FUMM (A) SIMPLE BEAM (B) FIXED END BEAM (C) CONTINUOUS BEAM  1-6 C () CLASSIFICATION OF STRUCTURES COMPRESSION TENSION (D) TRUSS FIGURE. 1.2.3. II. CABLES AND ARCHES : A. THESE TWO FORM OF STRUCTURES ARE USED FOR LONG SPAN. B. CABLES ARE USUALLY FLEXIBLE AND CARRY THEIR LOADS IN TENSION. C. THE EXTERNAL LOADS ARE NOT APPLIED ALONG THE AXIS OF THE CABLE AND CONSEQUENTLY CABLE TAKES A FORM OF DEFINED SAG. D. CABLES ARE COMMONLY USED TO SUPPORT BRIDGES AND BUILDING ROOFS. E. ARCHES ARE CHARACTERIZED BY HIGH AXIAL THRUST AND RELATIVELY LOW BENDING MOMENT WHICH RESULT FROM ITS DISTINGUISHED SHAPE AS WELL AS THE HORIZONTAL REACTIONS THAT DEVELOPED AT THE SUPPORT POINTS. F. ARCHES ACHIEVE THEIR STRENGTH IN COMPRESSION. ARCHES MUST BE RIGID IN ORDER TO MAINTAIN ITS SHAPE. G. ARCHES ARE USED IN BRIDGE STRUCTURES, DOME ROOFS ETC. (A) ARCH (B) CABLE STRUCTURE FIGURE. 1.2.4. III. FRAMES : A. FRAMES ARE COMPOSED OF BEAMS AND COLUMNS THAT ARE EITHER PIN OR FIXED CONNECTED. B. FRAMES ARE CHARACTERIZED BY MOMENT RESISTING MEMBERS AT SOME OR AT ALL THE JOINTS. C. IF IT HAS RIGID JOINT CONNECTIONS, THIS STRUCTURE IS GENERALLY INDETERMINATE. FRAMES CAN BE TWO OR THREE DIMENSIONAL. (A) INDUSTRIAL FRAME (B) MULTI STOREY (C) BUILDING FRAME BUILDING FRAME WITH SHEAR WALL FIGURE. 1.2.5.   1-7C () IV. SURFACE STRUCTURE : A ASURFACE STRUCTURE IS MADE OF A MATERIAL HAVING VERY SMALL THICKNESS COMPARED TO ITS OTHER DIMENSIONS. B. SURFACE STRUCTURES MAY ALSO BE MADE OF RIGID MATERIAL SUCH AS REINFORCED CONCRETE. C. THEY MAY BE SHAPED AS FOLDED PLATES, CYLINDERS OR HYPERBOLIC PARABOLOIDS AND ARE REFERRED TO AS THIN PLATES OR SHELLS. D THESE STRUCTURES ACT LIKE CABLES OR ARCHES SINCE THEY SUPPORT LOADS PRIMARILY IN TENSION OR COMPRESSION, WITH VERY LITTLE BENDING. (A) CYLINDRICAL SHELL (B) HYPERBOLIC PARABOLOIDS
2|DEFINE THE TERM FRAMEWORK AND EXPLAIN WHAT ARE THE FRAMED STRUCTURE SYSTEM AND CONTINUOUS STRUCTURE SYSTEM ?||1. FRAMEWORK : A FRAMEWORK IS THE SKELETON OF THE COMPLETE STRUCTURE AND IT SUPPORTS ALL INTENDED LOADS SAFELY AND ECONOMICALLY. 2 FRAMED STRUCTURE SYSTEM : ASSEMBLAGE OF MEMBERS FORMING A FRAME TO SUPPORT THE FORCES ACTING ON IT, IS CALLED THE FRAMED STRUCTURE SYSTEM. AS FRAME, HIGH-RISE STRUCTURE, TRUSS ETC. 3. CONTINUOUS STRUCTURE SYSTEM : ASSEMBLAGE OF CONTINUOUS MEMBER LIKE SHELLS, DOMES ETC., ARE CALLED CONTINUOUS STRUCTURE SYSTEM. AS CYLINDRICAL MEMBERS, SPACE CRAFTS, AIRCRAFTS ETC. P Z TRUSS Y P Y Z X GRID Z SPACE FRAME P FIGURE. 1.3.1. TYPES OF STRUCTURAL FRAMEWORKS.  1-8 C () CLASSIFICATION OF STRUCTURES
3|WHAT DO YOU UNDERSTAND BY THE TERM STRUCTURAL LOAD ? EXPLAIN DIFFERENT TYPES OF LOADS.||A. STRUCTURAL LOAD : STRUCTURAL LOAD IS CONSISTS OF FOLLOWING LOADS : 1. DEAD LOADS : I. DEAD LOADS ARE FIXED TO THE STRUCTURE AND IS MOSTLY INVARIANT WITH TIME. EXAMPLE : SELF WEIGHT OF THE STRUCTURE, FURNITURE, ETC. II. DEAD LOADS RESIDE PERMANENTLY IN THE STRUCTURE AND ARE THE BASIC PARAMETER FOR DESIGN IN ALL STRUCTURAL SYSTEMS. 2 LIVE LOADS : LIVE LOADS ARE THE LOADS WHICH ARE VARIABLE IN NATURE, BOTH IN THE TIME AND MAGNITUDE. THESE LOADS ARE APPLIED OVER AND ABOVE THE DEAD OR FIXED LOADS. THEY ARE GENERALLY KNOWN AS IMPOSED LOADS. 3. ENVIRONMENTAL LOADS : I. THESE LOADS ARE DUE TO WIND, EARTHQUAKE, FLOODS, LANDSLIDES ETC., AND CAUSED BY NATURAL PHENOMENON. II. THESE LOADS ARE MOSTLY NON DETERMINISTIC BECAUSE OF UNCERTAINTIES ASSOCIATED WITH THEIR OCCURRENCE, TIME AND MAGNITUDE AND TERRESTRIAL CONDITIONS. 4. MAN-MADE LOADS: MAN-MADE LOADS ARE CAUSED BY HUMAN ACTIVITIES. THESE LOADS ARE LIKE IMPACT LOADS, BLAST LOADS, DYNAMIC LOADS ETC. B. TYPES OF LOADS : 1. CLASSIFICATION OF LOADS ON THE BASIS OF DIRECTION IN WHICH LOADS ARE ACTING : I. GRAVITY LOADS : GRAVITY LOADS ARE THE DEAD LOADS, LIVE LOADS, SNOW AND ICE LOADS BECAUSE THEY ALWAYS ACT VERTICALLY DOWNWARDS. II. LATERAL LOADS : THE LOADS WHICH ACT HORIZONTALLY AS WIND LOADS, EARTHQUAKE LOADS AND SOIL AND HYDROSTATIC PRESSURES ARE KNOWN AS LATERAL LOADS. III. DIRECTIONLESS LOADS : THERMAL LOADS, LOADS DUE TO MISFIT AND BLASTING LOADS ARE KNOWN AS DIRECTIONLESS LOADS. 2. CLASSIFICATION OF LOADS ON THE BASIS OF THEIR VARIATION WITH TIME : I. STATIC OR MONOTONIC LOADS : LOADS THAT DO NOT VARY WITH TIME AND ALWAYS ACT IN THE SAME SENSE ARE KNOWN AS MONOTONIC OR STATIC LOAD. EXAMPLE : DEAD LOADS, CONSTRUCTION LOADS, SNOW LOADS AND EARTH PRESSURE ETC. II. CYCLIC OR DYNAMIC LOADS : A. LOADS THAT VARY WITH TIME AND CHANGE THEIR SENSE ARE KNOWN AS CYCLIC OR DYNAMIC LOADS. B. EXAMPLE : EARTHQUAKE LOADS, IMPACT LOADS, BLAST LOADS AND MACHINE INDUCED LOADS. DYNAMIC LOAD SETS THE STRUCTURE TO VIBRATE.   1-9C() C. FATIGUE LOAD IS A SPECIAL CASE OF DYNAMIC OR CYCLIC LOAD WHICH IS APPLIED REPEATEDLY ON THE STRUCTURE FOR A LONG DURATION. EXAMPLE : TRAFFIC AND WAVE INDUCED LOADS.
4|DIAGRAMMATICALLY SHOW THE VARIOUS TYPES OF SUPPORTS AND REACTIONS ACTING ON THEM||TABLE 1.5.1. TYPE OF SUPPORTS DIAGRAMMATIC SYMBOLS REACTIONS AND DIRECTIONS 000 ROLLER SUPPORT OR MMM VX Y VX HINGED SUPPORT OR VY VX VY - FIXED SUPPORT VX M Y LINK SUPPORT BALL AND SOCKET VX - V2 VY VX RIGID SUPPORT IN SPACE MY THE VX D MZ MX VZ  1-10 C () CLASSIFICATION OF STRUCTURES
5|WHAT DO YOU MEAN BY DEGREE OF FREEDOM ? ALSO EXPLAIN THE KINEMATIC INDETERMINACY. 05|WHAT DO YOU UNDERSTAND BY KINEMATIC INDETERMINACY OF STRUCTURES ? EXPLAIN IN SUFFICIENT DETAIL. 05|A. DEGREE OF FREEDOM : 1. WHEN A STRUCTURE COMPOSED OF SEVERAL MEMBERS WHICH ARE SUBJECTED TO LOADS, THE JOINTS UNDERGO DISPLACEMENTS IN THE FORM OF ROTATION AND TRANSLATION. 2. THE NUMBER OF INDEPENDENT JOINT DISPLACEMENT IS CALLED THE DEGREE OF KINEMATIC INDETERMINACY OR THE NUMBER OF DEGREE OF FREEDOM. B. KINEMATIC INDETERMINACY : 1. DEGREE OF KINEMATIC INDETERMINACY OR NUMBER OF DEGREE OF FREEDOM IS THE SUM OF DEGREE OF FREEDOM IN ROTATION AND TRANSLATION. 2. A JOINT IN SPACE CAN HAVE SIX POSSIBLE MOVEMENTS (3 LINEAR DISPLACEMENTS, ONE ALONG EACH REFERENCE AXIS AND 3 ROTATIONS, ONE ABOUT EACH REFERENCE AXIS) HENCE IT HAS SIX DEGREE OF FREEDOM. 3. IN CASE OF A TWO DIMENSIONAL SYSTEM, A FREE JOINT HAS THREE DEGREE OF FREEDOM [TWO TRANSLATION AND ONE ROTATION] HENCE IN CASE OF TWO DIMENSIONAL SYSTEM ANY JOINT MAY HAVE MAXIMUM OF 3 DEGREE OF KINEMATIC INDETERMINACY. 4. THE TOTAL KINEMATIC INDETERMINACY OF A STRUCTURE REPRESENTS THE SUM OF ALL THE POSSIBLE DISPLACEMENT THAT VARIOUS JOINTS OF THE STRUCTURE CAN UNDERGO. EXAMPLE : A B 000 FIGURE.1.6.1. FROM FIGURE. 1.6.1, JOINT KINEMATIC INDETERMINACY (KI) A O B 2 TOTAL KI 2   1-11 C ()
6|WHAT DO YOU MEAN BY STATIC INDETERMINACY ? EXPLAIN GIVING AT LEAST TWO EXAMPLES WITH REFERENCE TO TRUSSES.|WHAT DO YOU MEAN BY STATIC INDETERMINACY EXPLAIN WITH EXAMPLES|A. STATIC INDETERMINACY : FOR A STRUCTURE, IF AVAILABLE EQUILIBRIUM EQUATIONS ARE LESS THAN THE UNKNOWN FORCES THEN STRUCTURE IS KNOWN AS STATICALLY INDETERMINATE STRUCTURE. 1. FOR A COPLANAR RIGID FRAME STRUCTURE IF : I 3M = 3J R STRUCTURE IS STATICALLY DETERMINATE. IS 3M V 3J - R STRUCTURE IS STATICALLY INDETERMINATE. WHERE, M = NUMBER OF MEMBERS IN A STRUCTURE. R = TOTAL NUMBER OF FORCES AND MOMENT REACTION COMPONENTS. 2 STATIC INDETERMINACY = 3M. - (3J R) 3. DEGREE OF STATIC INDETERMINACY FOR TRUSS = TOTAL NUMBER OF UNKNOWNS (EXTERNAL AND INTERNAL) FORCES - NUMBER OF INDEPENDENT EQUATIONS OF EQUILIBRIUM. IF, J = NUMBER OF PIN (HINGE) JOINTS CONNECTING THESE MEMBERS. I TOTAL NUMBER OF UNKNOWN FORCES = (M + R) IL. TOTAL NUMBER OF INDEPENDENT EQUILIBRIUM EQUATIONS = 2J IN DEGREE OF STATIC INDETERMINACY = (M + R) 2J B. EXAMPLES : 1 FOR THE TRUSS AS SHOWN IN FIGURE. 1.7.1, WE HAVE M = 18, I = 10, AND R = 3. FIGURE. 1.7.1. INDETERMINATE TRUSS. DEGREE OF STATIC INDETERMINACY = (M + R) 2J = (18 + 3) - 2 X 10 = 21 - 20 = 1 SO, DEGREE OF STATIC INDETERMINACY = 1. 2. FOR THE TRUSS AS SHOWN IN THE FIGURE. 1.7.2, WE HAVE M = 17, , J = 10, AND R = 4. FIGURE. 1.7.2. (EXTERNALLY) INDETERMINATE TRUSS.  1-12 C () CLASSIFICATION OF STRUCTURES DEGREE OF STATIC INDETERMINACY = (M + R) - 2J = (17 + 4) - 2 X 10 = 21-20=1 - SO, DEGREE OF STATIC INDETERMINACY = 1.
6|WHAT IS THE DIFFERENCE BETWEEN STATICALLY DETERMINATE AND STATICALLY INDETERMINATE STRUCTURE|| STATICALLY DETERMINATE STATICALLY INDETERMINATE S. NO. STRUCTURES STRUCTURES CONDITIONS OF EQUILIBRIUM ARE CONDITIONS OF EQUILIBRIUM ARE 1. SUFFICIENT TO ANALYZE THE INSUFFICIENT TO ANALYZE THE STRUCTURE COMPLETELY. STRUCTURE COMPLETELY. THE BENDING MOMENT AT A THE BENDING MOMENT AT A SECTION 2. SECTION OR THE FORCE IN ANY OR THE FORCE IN A MEMBER DEPENDS MEMBER IS INDEPENDENT OF UPON THE MATERIAL OF THE THE MATERIAL OF THE COMPONENTS OF THE STRUCTURE. COMPONENTS OF THE STRUCTURE. 3. THE BENDING MOMENT AT A THE BENDING MOMENT AT A SECTION SECTION OR THE FORCE IN ANY OR THE FORCE IN A MEMBER DEPENDS MEMBER IS INDEPENDENT OF UPON THE CROSS-SECTIONAL AREAS OF THE CROSS-SECTIONAL AREAS OF THE COMPONENTS. THE COMPONENTS. 4. NO STRESSES ARE CAUSED DUE STRESSES ARE GENERALLY CAUSED TO TEMPERATURE CHANGES. DUE TO TEMPERATURE VARIATIONS. 5. NO STRESSES ARE CAUSED DUE STRESSES ARE CAUSED DUE TO LACK TO LACK OF FIT. OF FIT.
7|EXPLAIN EXTERNAL AND INTERNAL INDETERMINACY OF STRUCTURE.||A. EXTERNAL INDETERMINACY OF STRUCTURE (I.) : 1. LET R BE THE TOTAL NUMBER OF EXTERNAL REACTION COMPONENTS AT SUPPORTS AND E BE THE TOTAL NUMBER OF EQUATIONS OF STATICAL EQUILIBRIUM AVAILABLE FOR THE GIVEN STRUCTURE THEN THERE MAY ARISE THREE DIFFERENT CASES. I. R = E STRUCTURE IS EXTERNALLY DETERMINATE. II. T V E STRUCTURE IS EXTERNALLY INDETERMINATE. III. R<E STRUCTURE IS EXTERNALLY UNSTABLE. THUS EXTERNAL INDETERMINACY 1E = E. B. INTERNAL INDETERMINACY OF STRUCTURE (I¿) : I. IT IS DEFINED IN TERMS OF THE INTERNAL MEMBER FORCES THAT CAN NOT BE DETERMINED FROM SIMPLE STATICAL RELATIONS IF THE STRUCTURE IS TAKEN AS EXTERNALLY DETERMINATE. II. THIS TYPE OF INTERNAL INDETERMINACY IS SEEN IN ARTICULATED (PIN JOINED FRAMES) AND RIGID FRAME STRUCTURE. III. IN CASE OF BEAMS IT IS EQUAL TO ZERO. 1. ARTICULATED STRUCTURES : I. IF A TRUSS CONSIST OF M NUMBER OF PIN CONNECTED MEMBERS (IT MEANS THE TRUSS IS HAVING M NUMBER OF UNKNOWN MEMBER FORCES) THROUGH 'J NUMBER OF JOINTS IN THE TRUSS WHERE 'T' NUMBER OF EXTERNAL SUPPORT REACTIONS ARE DEVELOPED AND 'E' NUMBER OF EQUATION OF STATICAL EQUILIBRIUM ARE AVAILABLE THEN, II. TOTAL NUMBER OF EQUATIONS OF EQUILIBRIUM AVAILABLE AT JOINTS. E = 2J (... O, V=0] III. TOTAL NUMBER OF UNKNOWN = INTERNAL MEMBER FORCES + REACTION AT SUPPORTS = M + R IV. THEN FOR DETERMINACY OF THE TRUSS, M + R = 2J OR M = 2J - R V. IN CASE OF EXTERNALLY DETERMINATE 2-DIMENSIONAL PLANE TRUSS R = 3 (R = E = 3) HENCE M = 2J - 3 TOTAL INDETERMINACY, 1, = M - [2J-R] - VI. FOR EXTERNALLY DETERMINATE 3 DIMENSIONAL TRUSS M = 3J - R (AT EACH JOINT, EQUATIONS AVAILABLE=3J) M = 3J - 6   1-13 C () VII. NOW IN CASE OF 2-D TRUSSES : THEN THE TRUSS HAS ADDITIONAL MEMBER AND IT IS KNOWN AS REDUNDANT TRUSS. M =2J-3, THE TRUSS IS INTERNALLY DETERMINATE AND IS A PERFECT TRUSS. M<2J-3, THE TRUSS IS IMPERFECT TRUSS, IT HAS DEFICIENCY OF MEMBERS AND ITS CONFIGURATION IS UNSTABLE UNDER CERTAIN LOADING CONDITION. DEGREE OF INTERNAL INDETERMINACY, I, = M - (2J - 3) VIN. IN CASE OF 3-D SPACE TRUSSES : IF. M = 3J - 6, INTERNALLY DETERMINATE SPACE TRUSS M > 3J - 6. INTERNALLY INDETERMINATE SPACE TRUSS M < 3J - 6, INTERNALLY UNSTABLE TRUSS DEGREE OF INTERNAL INDETERMINACY, I, = M - (3J - R) = M - (3J - 6), 2 RIGID FRAMES : I THESE FRAMES HAVE RIGID JOINT AND MAY BE A 2-DIMENSIONAL OR 3- DIMENSIONAL FIGURE. IN A MEMBER OF RIGID FRAME THERE EXIST 3 STRESS RESULTANTS OR MEMBER FORCES WHICH NEED TO BE DETERMINED. HENCE, TOTAL NUMBER OF UNKNOWN = (3M + R). II. SINCE AT EACH JOINT OF RIGID FRAME THREE EQUATIONS OF EQUILIBRIUM ARE AVAILABLE THEN, TOTAL NUMBER OF EQUATIONS OF EQUILIBRIUM = 3J THEN FOR A FRAME TO BE INTERNALLY DETERMINATE, 3J = 3M + R III. IF 3M V 3J - R, THE FRAME BECOMES INTERNALLY INDETERMINATE. IF 3M < 3J - R, THE FRAME BECOMES INTERNALLY UNSTABLE OR DEFICIENT. I, = 3M - (3J - R) = 3M - (3J - 3) FOR 2D FRAME. IV. SIMILARLY IN CASE OF 3 DIMENSIONAL FRAME TOTAL NUMBER OF UNKNOWN BECOMES (6M +R) AND A TOTAL OF 6J EQUATIONS OF EQUILIBRIUM ARE AVAILABLE FOR ANALYSIS. V. THEN THE FRAME WILL BE INTERNALLY DETERMINATE, IF 6J = €M + R - AND IF 6M V 6J-R, THE FRAME BECOMES INTERNALLY INDETERMINATE AND WHEN 6M < 6J R, THE FRAME BECOMES INTERNALLY UNSTABLE. = 6M (6J - R) = 6M - (6J-6) - FOR 3D FRAME C. TOTAL INDETERMINACY OF RIGID FRAME STRUCTURE (I,) : 1. A STRUCTURE MAY BE INDETERMINATE INTERNALLY OR EXTERNALLY OR BOTH IN TERMS OF MEMBER FORCES OR EXTERNAL REACTIONS. 2. HENCE, THE TOTAL INDETERMINACY OF A STRUCTURE IS THE SUM OF INTERNAL AND EXTERNAL INDETERMINACY, I.E., I,=1,+1, I = (3M - (3J - R) FOR 2 DIMENSIONAL FRAME. 1, = 16M - (6J - R) FOR 3 DIMENSIONAL FRAME.  CLASSIFICATION OF STRUCTURES WHAT IS THE DIFFERENCE BETWEEN STATICALLY DETERMINATE AND
8|FIND THE EXTERNAL AND INTERNAL DEGREE OF REDUNDANCY OF THE STRUCTURES AS SHOWN IN FIGURE. 1.10.1. 03 A B A. C G F E D A B C B. H D G F E FIGURE. 1.10.1.   1-15 C () 1-||A. UNKNOWN SUPPORT REACTIONS, - = 4 NUMBER OF EQUILIBRIUM EQUATIONS, E = 3 NUMBER OF MEMBERS. M = 13 NUMBER OF JOINTS, J = 7 DEGREE OF EXTERNAL REDUNDANCY, L=R-C=4-3=1 - DEGREE OF INTERNAL REDUNDANCY, I = M - 12J - 3] = 13-1 [2 X 7 3] = 2 B. UNKNOWN SUPPORT REACTIONS, T = 4 NUMBER OF EQUILIBRIUM EQUATIONS, E = 3 NUMBER OF MEMBERS, M = 14 NUMBER OF JOINTS. J = S DEGREE OF EXTERNAL REDUNDANCY, 1, = R - E = 4 - 3 = 1 DEGREE OF INTERNAL REDUNDANCY, = M - [2J - 3] = 14 - [2 X 8 - 3) = 1  ANALYSIS OF CABLE WITH CONCENTRATED LOAD AND CONTINUOUS LOADINGS, EFFECT OF TEMPERATURE UPON LENGTH OF CABLE. OUTLINE : CABLES : CABLES ARE USED AS SUPPORT AS WELL AS FOR TRANSMISSION OF LOADS FROM ONE MEMBER TO THE OTHER. CABLE STANDS FOR A FLEXIBLE TENSION MEMBER. CABLE THEOREM : IN A CABLE SUBJECTED TO VERTICAL LOADING, THE PRODUCT OF THE HORIZONTAL COMPONENT OF THE CABLE AND THE VERTICAL INTERCEPT BETWEEN A POINT ON THE CABLE AND A POINT DIRECTLY ABOVE IT ON THE CHORD IS EQUAL TO THE MOMENT AT THE CORRESPONDING POINT IN A SIMPLE BEAM OF THE SAME SPAN SUPPORTING THE SAME LOADS. ANALYSIS OF CABLE : IN ANALYSIS OF CABLE, FOLLOWING TERMS ARE CALCULATED, 1. HORIZONTAL REACTION : = 2 TENSION AT THE = TO = B 3. SHAPE OF CABLE : THE CABLE GENERALLY FOUND IN THE SHAPE OF PARABOLA WHEN SUBJECTED TO UNIFORMLY DISTRIBUTED LOAD, EQUATION OF CURVE, Y = 4HX  I-16 C () CLASSIFICATION OF STRUCTURES 4. LENGTH OF THE CABLE : I. WHEN BOTH ENDS AT THE SAME LEVEL : 1=L+BIL 1=L+ 3 II. WHEN ENDS AT DIFFERENT LEVEL : L2 V H2 L, = V TH. . 1 = 3 4 L, AND 12 = 2L2 + 3 H2 L2 4 L = 1, + L2 2  
